model,num_trans,cat_trans,train_score,std_train_score,test_score,recall,precision,f1,AUC,cost_of_loss
LogisticRegression,NoneType,OrdinalEncoder,0.8396739130434783,0.05553208520191281,0.9,0.8214285714285714,0.9583333333333334,0.8846153846153847,0.8950892857142857,26
KNeighborsClassifier,StandardScaler,OrdinalEncoder,0.8226449275362319,0.07202972362786297,0.85,0.75,0.9130434782608695,0.8235294117647057,0.84375,37
DecisionTreeClassifier,Normalizer,OneHotEncoder,0.7846014492753624,0.06663342941154896,0.8,0.8214285714285714,0.7666666666666667,0.793103448275862,0.8013392857142857,32
RandomForestClassifier,Normalizer,OrdinalEncoder,0.8438405797101449,0.07016648369223306,0.8833333333333333,0.7857142857142857,0.9565217391304348,0.8627450980392156,0.8772321428571428,31
SVC,MinMaxScaler,OrdinalEncoder,0.8351449275362318,0.06656715162359213,0.8833333333333333,0.8214285714285714,0.92,0.8679245283018867,0.8794642857142857,27
MLPClassifier,StandardScaler,OrdinalEncoder,0.8226449275362319,0.07912520056214176,0.9,0.8214285714285714,0.9583333333333334,0.8846153846153847,0.8950892857142857,26
