model,best_params,num_trans,cat_trans,train_score,std_train_score,test_score,recall,precision,f1,AUC,cost_of_loss
LogisticRegression,"{'classifier__C': 10, 'classifier__solver': 'lbfgs'}",MinMaxScaler,OrdinalEncoder,0.8438405797101449,0.07016648369223306,0.8833333333333333,0.7857142857142857,0.9565217391304348,0.8627450980392156,0.9419642857142857,31.0
KNeighborsClassifier,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 7}",StandardScaler,OrdinalEncoder,0.8226449275362319,0.07202972362786297,0.85,0.75,0.9130434782608695,0.8235294117647057,0.9123883928571428,37.0
DecisionTreeClassifier,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': None, 'classifier__max_leaf_nodes': 4, 'classifier__min_samples_split': 2}",StandardScaler,OrdinalEncoder,0.7971014492753624,0.06301119446589887,0.8,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8638392857142857,36.0
RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'auto', 'classifier__max_leaf_nodes': 2, 'classifier__n_estimators': 200}",MinMaxScaler,OrdinalEncoder,0.8311594202898551,0.0724583331295137,0.8166666666666667,0.6785714285714286,0.9047619047619048,0.7755102040816326,0.9174107142857143,47.0
SVC,"{'classifier__C': 100, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",StandardScaler,OrdinalEncoder,0.8478260869565217,0.060464924885067495,0.8833333333333333,0.7857142857142857,0.9565217391304348,0.8627450980392156,0.9464285714285714,31.0
MLPClassifier,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (10, 2), 'classifier__solver': 'adam'}",NoneType,OrdinalEncoder,0.8481884057971014,0.08602612157817424,0.9,0.8214285714285714,0.9583333333333334,0.8846153846153847,0.9631696428571428,26.0
