model,num_trans,cat_trans,train_score,std_train_score,test_score,recall,precision,f1,AUC
LogisticRegression,NoneType,OrdinalEncoder,0.8396739130434783,0.05553208520191281,0.9,0.8214285714285714,0.9583333333333334,0.8846153846153847,0.8950892857142857
KNeighborsClassifier,StandardScaler,OrdinalEncoder,0.8226449275362319,0.07202972362786297,0.85,0.75,0.9130434782608695,0.8235294117647057,0.84375
DecisionTreeClassifier,MinMaxScaler,OrdinalEncoder,0.8007246376811594,0.06938192943342714,0.8166666666666667,0.7142857142857143,0.8695652173913043,0.7843137254901961,0.8102678571428572
RandomForestClassifier,Normalizer,OrdinalEncoder,0.8483695652173913,0.07699190110354955,0.9,0.8214285714285714,0.9583333333333334,0.8846153846153847,0.8950892857142857
SVC,MinMaxScaler,OrdinalEncoder,0.8351449275362318,0.06656715162359213,0.8833333333333333,0.8214285714285714,0.92,0.8679245283018867,0.8794642857142857
MLPClassifier,StandardScaler,OrdinalEncoder,0.8226449275362319,0.07912520056214176,0.9,0.8214285714285714,0.9583333333333334,0.8846153846153847,0.8950892857142857
