model,best_params,num_trans,cat_trans,train_score,std_train_score,test_score,recall,precision,f1,AUC,cost_of_loss
LogisticRegression,"{'classifier__C': 10, 'classifier__solver': 'lbfgs'}",MinMaxScaler,NoneType,0.9725925925925927,0.023408883572924036,0.9562043795620438,0.9375,0.9375,0.9375,0.9918071161048689,18.0
KNeighborsClassifier,"{'classifier__metric': 'minkowski', 'classifier__n_neighbors': 7}",StandardScaler,NoneType,0.9744107744107744,0.0203206394090432,0.948905109489051,0.9166666666666666,0.9361702127659575,0.9263157894736843,0.9838483146067415,23.0
DecisionTreeClassifier,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 4, 'classifier__max_features': 'auto', 'classifier__max_leaf_nodes': None, 'classifier__min_samples_split': 2}",StandardScaler,NoneType,0.9670707070707071,0.028135660078383532,0.9343065693430657,0.9166666666666666,0.8979591836734694,0.9072164948453607,0.9465121722846441,25.0
RandomForestClassifier,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 5, 'classifier__max_features': 'auto', 'classifier__max_leaf_nodes': None, 'classifier__n_estimators': 200}",MinMaxScaler,NoneType,0.9817171717171718,0.02305256666998339,0.9416058394160584,0.9375,0.9,0.9183673469387755,0.9868913857677902,20.0
SVC,"{'classifier__C': 1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",StandardScaler,NoneType,0.9762626262626262,0.02003480176754097,0.948905109489051,0.9375,0.9183673469387755,0.9278350515463918,0.9911048689138576,19.0
MLPClassifier,"{'classifier__activation': 'logistic', 'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (5, 2), 'classifier__solver': 'adam'}",MinMaxScaler,NoneType,0.97993265993266,0.02064508529307321,0.9562043795620438,0.9583333333333334,0.92,0.9387755102040817,0.9911048689138576,14.0
